slug                                     ours  venue/expert   diff%
aquarius-xsolvbtc-solvbtc-pool     10,689,073    10,462,937   2.16%
aquarius-pyusd-usdc-pool            8,029,409     8,029,499  -0.00%
aquarius-native-solvbtc-pool        6,542,035     6,513,751   0.43%
aquarius-native-usdc-pool           3,174,712     3,177,114  -0.08%
aquarius-ustry-usdc-pool            2,177,508     2,187,321  -0.45%
aquarius-usdy-usdc-pool             2,032,393     2,010,482   1.09%
aquarius-cetes-usdc-pool            1,787,076     2,383,335 -25.02%
aquarius-native-aqua-pool           1,370,939     1,374,375  -0.25%
aquarius-native-usdc-clpool         1,215,811     1,216,448  -0.05%
aquarius-native-yxlm-pool             940,440       940,216   0.02%
aquarius-usdc-yusdc-pool              862,051       862,493  -0.05%
aquarius-aqua-usdc-pool               486,774       487,299  -0.11%
aquarius-btc-eth-pool                 433,583       430,951   0.61%
aquarius-usdglo-usdc-pool             422,530       409,888   3.08%
aquarius-native-yxlm-clpool           381,843       382,284  -0.12%
aquarius-pyusd-usdc-clpool            284,946       286,243  -0.45%
aquarius-native-aqua-clpool           216,589       216,886  -0.14%
aquarius-eth-usdc-pool                119,802       119,363   0.37%
aquarius-usdc-tesouro-pool            115,347       113,041   2.04%
aquarius-aqua-usdc-clpool              89,882        89,758   0.14%
aquarius-btc-usdc-clpool               53,465        53,270   0.37%
soroswap-usdc-eurc-pair               563,118       560,090   0.54%
soroswap-native-eurc-pair             415,165       412,848   0.56%
soroswap-native-usdc-pair             110,777           n/a     n/a
soroswap-ustry-usdc-pair               92,147        92,627  -0.52%
